# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 22 07:19:58 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11442793,K00351.02,Kepler-90 g,CONFIRMED,CANDIDATE,0.8800,0,0,0,0,210.601384300,2.3470000e-04,-2.3470000e-04,147.0568670,8.860000e-04,-8.860000e-04,0.0020,0.1720,-0.0020,11.99220,0.03470,-0.03470,4159.3,18.5,-18.5,7.70,1.25,-1.03,342.0,,,3.22,1.45,-1.01,232.40,2,q1_q17_dr25_tce,5970.00,107.00,-131.00,4.317,0.110,-0.121,1.2000,0.1950,-0.1600,284.433500,49.305161,13.804
11442793,K00351.03,Kepler-90 d,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,59.737144300,2.4020000e-04,-2.4020000e-04,158.9597400,2.760000e-03,-2.760000e-03,0.0050,0.4130,-0.0050,8.00060,0.09510,-0.09510,566.4,13.3,-13.3,2.84,0.46,-0.38,520.0,,,17.26,7.78,-5.40,43.50,3,q1_q17_dr25_tce,5970.00,107.00,-131.00,4.317,0.110,-0.121,1.2000,0.1950,-0.1600,284.433500,49.305161,13.804
11442793,K00351.05,Kepler-90 c,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,8.719801350,2.9880000e-05,-2.9880000e-05,139.5213400,2.690000e-03,-2.690000e-03,0.3430,0.0850,-0.3430,3.74540,0.07400,-0.07400,160.4,7.4,-7.4,1.53,0.25,-0.20,987.0,,,224.47,101.21,-70.19,22.70,7,q1_q17_dr25_tce,5970.00,107.00,-131.00,4.317,0.110,-0.121,1.2000,0.1950,-0.1600,284.433500,49.305161,13.804
11442793,K00351.06,Kepler-90 b,CONFIRMED,CANDIDATE,0.9160,0,0,0,0,7.008217870,4.7010000e-05,-4.7010000e-05,137.6716400,5.260000e-03,-5.260000e-03,0.1560,0.3120,-0.1560,3.81200,0.18100,-0.18100,116.4,6.7,-6.7,1.29,0.21,-0.17,1062.0,,,300.58,135.53,-93.99,19.20,6,q1_q17_dr25_tce,5970.00,107.00,-131.00,4.317,0.110,-0.121,1.2000,0.1950,-0.1600,284.433500,49.305161,13.804
11442793,K00351.04,Kepler-90 e,CONFIRMED,CANDIDATE,0.9710,0,0,0,0,91.940125300,5.4660000e-04,-5.4660000e-04,134.3000000,4.730000e-03,-4.730000e-03,0.0250,0.4030,-0.0250,9.19500,0.13800,-0.13800,482.9,14.2,-14.2,2.62,0.43,-0.35,450.0,,,9.71,4.39,-3.03,34.40,4,q1_q17_dr25_tce,5970.00,107.00,-131.00,4.317,0.110,-0.121,1.2000,0.1950,-0.1600,284.433500,49.305161,13.804
11442793,K00351.07,Kepler-90 f,CONFIRMED,CANDIDATE,0.9950,0,0,0,0,124.922516000,2.8160000e-03,-2.8160000e-03,129.7295000,2.160000e-02,-2.160000e-02,0.9430,0.0280,-0.6450,11.94200,0.45100,-0.45100,498.7,21.6,-21.6,3.37,0.55,-0.45,407.0,,,6.45,2.92,-2.01,24.40,5,q1_q17_dr25_tce,5970.00,107.00,-131.00,4.317,0.110,-0.121,1.2000,0.1950,-0.1600,284.433500,49.305161,13.804
11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,670.645531000,1.2370000e-03,-1.2370000e-03,209.0435500,1.570000e-03,-1.570000e-03,0.7010,0.0040,-0.0050,53.41200,0.13100,-0.13100,18090.6,33.5,-33.5,14.14,2.13,-0.71,196.0,,,0.35,0.15,-0.06,642.70,1,q1_q17_dr25_tce,5520.00,100.00,-111.00,4.466,0.032,-0.120,0.9830,0.1480,-0.0490,296.698610,49.316479,15.207
11805075,K00436.01,,CANDIDATE,CANDIDATE,0.8040,0,0,0,0,199.839205270,4.5320000e-05,-4.5320000e-05,225.3589600,1.750000e-04,-1.750000e-04,0.8110,0.0080,-0.0070,4.37800,0.01380,-0.01380,44490.0,126.0,-126.0,21.48,4.95,-1.75,276.0,,,1.36,0.96,-0.33,590.60,1,q1_q17_dr25_tce,5457.00,164.00,-147.00,4.548,0.028,-0.171,0.8690,0.2000,-0.0710,286.656890,50.021568,14.740
11853130,K03263.01,,CANDIDATE,CANDIDATE,0.9680,0,0,0,0,76.879358930,4.8340000e-05,-4.8340000e-05,146.8824510,5.050000e-04,-5.050000e-04,0.8640,0.0760,-0.0450,2.38190,0.04290,-0.04290,21272.0,253.0,-253.0,7.71,0.80,-0.86,202.0,,,0.40,0.12,-0.11,131.00,1,q1_q17_dr25_tce,3638.00,72.00,-79.00,4.828,0.041,-0.054,0.4360,0.0450,-0.0490,285.095860,50.100960,15.949
12356617,K00375.01,Kepler-1704 b,CONFIRMED,CANDIDATE,,0,0,0,0,988.881117700,9.1140000e-04,-9.1140000e-04,239.2241890,6.010000e-04,-6.010000e-04,0.1667,0.1675,-0.1667,5.95040,0.04440,-0.04440,5060.0,38.9,-38.9,10.81,2.66,-2.05,223.0,,,0.58,0.40,-0.23,136.40,,,5755.00,112.00,-112.00,4.101,0.145,-0.129,1.5490,0.3810,-0.2940,291.201200,51.144279,13.293
12416987,K02933.01,,CANDIDATE,CANDIDATE,0.0000,0,0,0,0,119.083304200,5.1500000e-04,-5.1500000e-04,163.5621200,3.210000e-03,-3.210000e-03,1.2570,60.5000,-1.1160,2.55800,0.18500,-0.18500,2951.0,187.0,-187.0,22.19,2.03,-1.81,240.0,,,0.78,0.29,-0.22,18.90,1,q1_q17_dr25_tce,4412.00,155.00,-170.00,4.662,0.032,-0.042,0.6230,0.0570,-0.0510,295.677980,51.257839,15.823
12647757,K08241.01,,CANDIDATE,CANDIDATE,0.2510,0,0,0,0,490.639410000,2.2290000e-02,-2.2290000e-02,561.5837000,3.120000e-02,-3.120000e-02,0.0150,0.4420,-0.0150,16.50000,1.20000,-1.20000,268.8,33.0,-33.0,7.67,0.57,-1.33,412.0,,,6.84,1.61,-2.66,9.60,1,q1_q17_dr25_tce,5037.00,87.00,-137.00,3.252,0.030,-0.030,4.8170,0.3590,-0.8370,290.862760,51.701908,13.227
12735740,K03663.01,Kepler-86 b,CONFIRMED,CANDIDATE,0.9630,0,0,0,0,282.525355800,1.2190000e-04,-1.2190000e-04,363.0719250,2.890000e-04,-2.890000e-04,0.2480,0.0500,-0.0750,10.79650,0.02920,-0.02920,9746.4,16.7,-16.7,8.98,1.31,-0.47,264.0,,,1.15,0.47,-0.20,696.00,1,q1_q17_dr25_tce,5725.00,102.00,-113.00,4.506,0.038,-0.113,0.9130,0.1330,-0.0480,289.763610,51.962601,12.620
3239945,K00490.01,Kepler-167 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.393157678,5.4850000e-06,-5.4850000e-06,172.8675280,9.910000e-04,-9.910000e-04,0.1020,0.3560,-0.1020,2.44550,0.03430,-0.03430,447.2,7.8,-7.8,1.41,0.11,-0.04,807.0,,,99.90,25.68,-13.19,63.00,2,q1_q17_dr25_tce,4799.00,95.00,-95.00,4.631,0.012,-0.048,0.6920,0.0540,-0.0210,292.658420,38.345390,14.023
3239945,K00490.02,Kepler-167 e,CONFIRMED,CANDIDATE,0.0000,0,0,0,0,1071.232624000,6.4350000e-04,-6.4350000e-04,420.2865570,4.520000e-04,-4.520000e-04,0.2160,0.0540,-0.0830,16.17840,0.04980,-0.04980,19045.6,36.1,-36.1,9.27,0.73,-0.28,129.0,,,0.07,0.01,-0.01,544.20,1,q1_q17_dr25_tce,4799.00,95.00,-95.00,4.631,0.012,-0.048,0.6920,0.0540,-0.0210,292.658420,38.345390,14.023
3239945,K00490.03,Kepler-167 c,CONFIRMED,CANDIDATE,0.9870,0,0,0,0,7.406116760,1.3920000e-05,-1.3920000e-05,134.0748100,1.460000e-03,-1.460000e-03,0.0770,0.4270,-0.0770,2.88260,0.05220,-0.05220,417.9,9.1,-9.1,1.37,0.10,-0.05,678.0,,,49.89,12.82,-6.59,49.60,3,q1_q17_dr25_tce,4799.00,95.00,-95.00,4.631,0.012,-0.048,0.6920,0.0540,-0.0210,292.658420,38.345390,14.023
3239945,K00490.04,Kepler-167 d,CONFIRMED,CANDIDATE,0.9970,0,0,0,0,21.803708000,1.3610000e-04,-1.3610000e-04,139.0719900,4.940000e-03,-4.940000e-03,0.5680,0.3550,-0.3540,3.36900,0.15700,-0.15700,246.4,14.4,-14.4,1.11,0.09,-0.03,473.0,,,11.82,3.03,-1.56,18.50,4,q1_q17_dr25_tce,4799.00,95.00,-95.00,4.631,0.012,-0.048,0.6920,0.0540,-0.0210,292.658420,38.345390,14.023
3345675,K01772.01,,CANDIDATE,CANDIDATE,0.0000,0,0,0,0,120.003364040,8.0320000e-05,-8.0320000e-05,250.1378320,5.610000e-04,-5.610000e-04,0.7800,0.0250,-0.0170,3.38030,0.03300,-0.03300,39596.0,543.0,-543.0,15.08,0.86,-1.17,240.0,,,0.78,0.21,-0.21,131.10,1,q1_q17_dr25_tce,4315.00,142.00,-155.00,4.627,0.035,-0.028,0.6680,0.0380,-0.0520,292.300690,38.402142,15.635
3534076,K01209.01,,CANDIDATE,CANDIDATE,,0,0,0,0,272.086835300,8.5140000e-04,-8.5140000e-04,378.1372100,2.020000e-03,-2.020000e-03,0.3629,0.1110,-0.3629,2.71450,0.09370,-0.09370,5572.0,296.0,-296.0,5.95,2.67,-0.53,251.0,,,0.93,1.33,-0.25,21.50,,,5587.00,208.00,-168.00,4.548,0.047,-0.273,0.7910,0.3550,-0.0710,288.314360,38.693291,15.166
3634051,K06103.01,Kepler-1981 b,CONFIRMED,CANDIDATE,0.0000,0,0,0,0,453.542120000,3.5010000e-03,-3.5010000e-03,360.0617000,4.730000e-03,-4.730000e-03,0.6330,0.2190,-0.4050,17.02600,0.24000,-0.24000,861.0,18.6,-18.6,9.23,1.76,-4.10,390.0,,,5.45,2.74,-3.85,48.80,1,q1_q17_dr25_tce,5874.00,87.00,-79.00,3.664,0.375,-0.125,3.0060,0.5720,-1.3350,287.975460,38.740280,13.436
3634051,K06103.02,,CANDIDATE,CANDIDATE,0.7550,0,0,0,0,122.805441600,9.1810000e-04,-9.1810000e-04,179.3173200,6.210000e-03,-6.210000e-03,1.3460,6.9450,-0.0620,2.66300,0.26100,-0.26100,313.0,33.7,-33.7,118.62,22.57,-52.68,602.0,,,31.11,15.64,-22.00,10.60,2,q1_q17_dr25_tce,5874.00,87.00,-79.00,3.664,0.375,-0.125,3.0060,0.5720,-1.3350,287.975460,38.740280,13.436
3756801,K01206.01,,CANDIDATE,CANDIDATE,,0,0,0,0,422.917678000,9.3270000e-03,-9.3270000e-03,448.4964800,6.250000e-03,-6.250000e-03,0.7887,0.0436,-0.4170,31.27400,0.70900,-0.70900,1367.7,24.6,-24.6,5.89,2.64,-1.62,292.0,,,1.73,2.32,-0.92,61.70,,,5796.00,162.00,-165.00,4.120,0.256,-0.224,1.4440,0.6480,-0.3970,293.954590,38.899971,13.642
4346339,K05057.01,,CANDIDATE,CANDIDATE,,0,0,0,0,493.742420000,1.0350000e-02,-1.0350000e-02,149.1145000,1.220000e-02,-1.220000e-02,0.2377,0.2360,-0.2376,5.68500,0.58100,-0.58100,506.1,45.2,-45.2,7.15,4.37,-1.55,358.0,,,3.90,7.20,-1.72,12.40,1,q1_q16_tce,5015.00,116.00,-115.00,3.429,0.203,-0.344,3.2430,1.9840,-0.7050,285.343290,39.413849,12.518
4820550,K03823.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,202.116817300,5.4420000e-04,-5.4420000e-04,292.0506400,1.850000e-03,-1.850000e-03,0.9060,0.0100,-0.0280,4.68300,0.15400,-0.15400,2701.2,58.2,-58.2,5.80,0.72,-0.34,286.0,,,1.59,0.53,-0.26,56.30,1,q1_q17_dr25_tce,5536.00,74.00,-83.00,4.498,0.038,-0.113,0.9170,0.1150,-0.0530,286.771450,39.983822,13.922
5094412,K05124.01,,CANDIDATE,CANDIDATE,0.0000,0,0,0,0,276.879492000,2.5260000e-03,-2.5260000e-03,176.5215200,6.690000e-03,-6.690000e-03,1.0450,0.0320,-0.7350,3.77900,0.31500,-0.31500,1762.0,184.0,-184.0,11.67,1.08,-1.42,260.0,,,1.08,0.30,-0.29,10.40,1,q1_q17_dr25_tce,5324.00,85.00,-74.00,4.396,0.126,-0.063,0.9660,0.0890,-0.1180,290.298400,40.287842,15.772
5110453,K05126.01,,CANDIDATE,CANDIDATE,,0,0,0,0,418.043550000,7.7290000e-03,-7.7290000e-03,194.7139000,1.630000e-02,-1.630000e-02,0.8391,0.1068,-0.6023,10.77700,0.48300,-0.48300,481.6,42.0,-42.0,13.73,1.35,-3.01,463.0,,,10.83,3.25,-4.99,10.80,1,q1_q16_tce,5110.00,96.00,-155.00,3.184,0.031,-0.029,5.4690,0.5390,-1.1970,294.848020,40.240879,13.637
5115688,K06526.01,,CANDIDATE,CANDIDATE,,0,0,0,0,486.778320000,1.9700000e-02,-1.9700000e-02,529.0865000,2.450000e-02,-2.450000e-02,0.1737,0.3112,-0.1736,15.29000,1.30000,-1.30000,370.8,38.7,-38.7,9.30,0.57,-2.36,409.0,,,6.60,1.45,-3.29,10.40,1,q1_q17_dr24_tce,5039.00,103.00,-131.00,3.295,0.032,-0.032,4.9500,0.3020,-1.2560,295.949250,40.247829,13.892
5181299,K05134.01,,CANDIDATE,CANDIDATE,,0,0,0,0,573.238260000,1.0760000e-02,-1.0760000e-02,343.3130000,1.330000e-02,-1.330000e-02,0.0078,0.4588,-0.0077,2.64100,0.50400,-0.50400,470.1,87.8,-87.8,6.93,3.26,-1.99,338.0,,,3.09,4.27,-1.70,6.80,1,q1_q16_tce,5172.00,126.00,-159.00,3.534,0.228,-0.303,3.2640,1.5360,-0.9350,290.099910,40.386581,13.815
5351250,K00408.01,Kepler-150 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.381980206,7.1580000e-06,-7.1580000e-06,173.0726590,7.600000e-04,-7.600000e-04,0.0960,0.2830,-0.0960,3.11520,0.02870,-0.02870,1433.8,15.3,-15.3,3.42,0.41,-0.27,876.0,,,138.88,49.66,-29.55,101.60,1,q1_q17_dr25_tce,5559.00,110.00,-110.00,4.470,0.068,-0.102,0.9140,0.1100,-0.0700,288.234100,40.520901,14.985
5351250,K00408.02,Kepler-150 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.560966180,2.6530000e-05,-2.6530000e-05,166.7948300,1.650000e-03,-1.650000e-03,0.0220,0.4370,-0.0220,3.76470,0.06080,-0.06080,923.1,18.1,-18.1,2.74,0.33,-0.21,734.0,,,68.49,24.49,-14.58,55.10,2,q1_q17_dr25_tce,5559.00,110.00,-110.00,4.470,0.068,-0.102,0.9140,0.1100,-0.0700,288.234100,40.520901,14.985
5351250,K00408.03,Kepler-150 e,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,30.826104300,2.0790000e-04,-2.0790000e-04,153.0150300,5.520000e-03,-5.520000e-03,0.9430,0.0030,-0.6540,5.91400,0.26200,-0.26200,742.2,25.2,-25.2,3.18,0.38,-0.24,544.0,,,20.68,7.40,-4.40,32.30,3,q1_q17_dr25_tce,5559.00,110.00,-110.00,4.470,0.068,-0.102,0.9140,0.1100,-0.0700,288.234100,40.520901,14.985
